id,pop,lat,lon,id2,Date,city,Elevation,plus_code,Capture_method,sex,Weiht_rams,body_width,body_circumference,Wing,Tarsus,wingspan,Beak_length,length_body,Colour_Secondary_feathers,Colour_Beak,Colour_Eye_circle,Colour_Back,Colour_Chest
sshn26,South Sharqiyah,21.5704375,59.5316875,62,12/19/23,Sur,9,7HHXHGCJ+5MF,Shoot,Male,105.51,4,12.2,21,4,44,2.3,26,black,yellow,yellow,brown_grey,brown_grey
sshn36,South Sharqiyah,21.5704375,59.5316875,67,12/19/23,Sur,9,7HHXHGCJ+5MF,Shoot,Female,108.26,4,11.5,20,4,40,2.1,25,black,yellow,yellow,brown_grey,brown_grey
sshn37,South Sharqiyah,21.5704375,59.5316875,68,12/19/23,Sur,9,7HHXHGCJ+5MF,Shoot,Male,134.2,4,13,21.5,4,43,2.3,27.5,black,yellow,yellow,brown_grey,brown_grey
sshn38,South Sharqiyah,21.5704375,59.5316875,69,12/19/23,Sur,9,7HHXHGCJ+5MF,Shoot,Female,105.08,4,12,21.5,4,41.5,2.1,25.7,black,yellow,yellow,brown_grey,brown_grey
sshn27,South Sharqiyah,21.5704375,59.5316875,63,12/19/23,Sur,9,7HHXHGCJ+5MF,Shoot,Female,109.31,3.8,12,21,4,42,2.1,25.5,black,yellow,yellow,brown_grey,brown_grey
sshn028,South Sharqiyah,21.5704375,59.5316875,39,12/19/23,Sur,9,7HHXHGCJ+5MF,Shoot,Male,134.66,3.8,13.3,20,4,43.5,2.2,27,black,yellow,yellow,brown_grey,brown_grey
Sshn30,South Sharqiyah,21.5704375,59.5316875,46,12/19/23,Sur,9,7HHXHGCJ+5MF,Shoot,Male,122.6,4,13,20,3.9,43.8,2,26,black,yellow,yellow,brown_grey,brown_grey
sshn31,South Sharqiyah,21.5704375,59.5316875,64,12/19/23,Sur,9,7HHXHGCJ+5MF,Shoot,Female,109.82,4,12.2,19.5,4,40.5,2.2,24.5,black,yellow,yellow,brown_grey,brown_grey
Sshn32,South Sharqiyah,21.5704375,59.5316875,51,12/19/23,Sur,9,7HHXHGCJ+5MF,Shoot,Female,94.05,4,11.5,18.4,4,38.5,2,25,black,yellow,yellow,brown_grey,brown_grey
sshn34,South Sharqiyah,21.5704375,59.5316875,66,12/19/23,Sur,9,7HHXHGCJ+5MF,Shoot,Male,124.72,4,13,22,4,43.5,2.1,26.5,black,yellow,yellow,brown_grey,brown_grey
